MinimumInstallerVersion;InstallerVersionLessThan;MinimumEmu68Version;Emu68VersionLessThan;KickstartVersion;IconsetName;USBStack;NetworkStack;AmigaUpdate;AmigaVersionCheck;PackageType;PackageName;PackageMandatory;PackageNameDefaultInstall;PackageNameFriendlyName;PackageNameGroup;PackageNameDescription;UpdatePackageSearchTerm;UpdatePackageSearchResultLimit;UpdatePackageSearchExclusionTerm;UpdatePackageSearchMinimumDate;InstallSequence;AlwaysDownload;Source;GithubReleaseType;GithubName;GithubRelease;InstallType;SourceLocation;UseLHASA;BackupSourceLocation;ArchiveinArchiveName;ArchiveinArchivePassword;FileDownloadName;PerformHashCheck;Hash;FilestoInstall;UseUAEFSDB;DrivetoInstall;LocationtoInstall;CopytoAmigaDriveDirect;CopyRecursive;UncompressZFiles;CreateFolderInfoFile;NewFileName;ScriptBeingModified;ModifyScript;ModifyScriptAction;ScriptNameofChange;ScriptEditStartPoint;ScriptEditEndPoint;ScriptPathtoChanges;ScriptArexxFlag;ModifyInfoFileType;ModifyInfoFileTooltype;PathtoRevisedToolTypeInfo;InstallCondition
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\C\*";"TRUE";"System";"C";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\Libs\*.library";"TRUE";"System";"Libs";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\Devs\Internet\*";"TRUE";"System";"Devs\Internet";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\ReadMe";"TRUE";"System";"Programs\AmiNetXDuo";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\Docs\*";"TRUE";"System";"Programs\AmiNetXDuo\Docs";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\Examples\*";"TRUE";"System";"Programs\AmiNetXDuo\Examples";"FALSE";"TRUE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\Terminal\*";"TRUE";"System";"Programs\AmiNetXDuo\Terminal";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"NetworkStack";"AmiNetXDuo";"FALSE";"TRUE";"AmiNetXDuo TCP/IP stack";"Network";"Free IPv4, IPv6 and TLS TCP/IP stack for AmigaOS";"";"";"";"";"";"FALSE";"Github";"Release";"^AmiNetXDuo-.*\.lha$";"";"CopyFiles";"https://api.github.com/repos/tinic/AmiNetXDuo/releases";"FALSE";"";"";"";"AmiNetXDuo.lha";"FALSE";"";"AmiNetXDuo\AmiNetXDuo.info";"TRUE";"System";"Programs";"FALSE";"FALSE";"FALSE";"FALSE";"AmiNetXDuo.info";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\PiStorm\Network\OnlineWifiScriptMenuTools_AmiNetXDuo";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm\Network";"FALSE";"FALSE";"FALSE";"FALSE";"OnlineWifiScriptMenuTools";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\PiStorm\Network\OnlineGENetScriptMenutools_AmiNetXDuo";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm\Network";"FALSE";"FALSE";"FALSE";"FALSE";"OnlineGENetScriptMenutools";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
